S1_r2_b50 | tx=50.0 Gbits/sec | [  5]   0.00-12.00  sec  24.2 GBytes  17.3 Gbits/sec  0.002 ms  5838665/9057264 (64%)  receiver
S1_r2_b60 | tx=59.7 Gbits/sec | [  5]   0.00-12.00  sec  20.8 GBytes  14.9 Gbits/sec  0.001 ms  8055122/10814824 (74%)  receiver
S1_r2_b0 | tx=82.0 Gbits/sec | [  5]   0.00-12.00  sec  13.0 GBytes  9.33 Gbits/sec  0.011 ms  12855948/14592384 (88%)  receiver
S2_r2_b24 | tx=24.0 Gbits/sec | [  5]   0.00-12.00  sec  33.5 GBytes  24.0 Gbits/sec  0.002 ms  0/4430856 (0%)  receiver
S2_r2_b28 | tx=28.0 Gbits/sec | [  5]   0.00-12.00  sec  39.1 GBytes  28.0 Gbits/sec  0.001 ms  0/5169248 (0%)  receiver
S2_r2_b32 | tx=29.4 Gbits/sec | [  5]   0.00-12.00  sec  41.0 GBytes  29.4 Gbits/sec  0.004 ms  0/5423960 (0%)  receiver
S2_r2_b36 | tx=36.0 Gbits/sec | [  5]   0.00-12.00  sec  50.3 GBytes  36.0 Gbits/sec  0.000 ms  0/6646171 (0%)  receiver
S2_r2_b40 | tx=40.0 Gbits/sec | [  5]   0.00-12.21  sec  36.4 GBytes  25.6 Gbits/sec  0.001 ms  2574506/7384846 (35%)  receiver
S2_r2_b50 | tx=50.0 Gbits/sec | [  5]   0.00-12.00  sec  32.0 GBytes  22.9 Gbits/sec  0.004 ms  4872212/9100080 (54%)  receiver
S2_r2_b60 | tx=60.0 Gbits/sec | [  5]   0.00-12.21  sec  29.4 GBytes  20.7 Gbits/sec  0.001 ms  7186569/11076992 (65%)  receiver
S2_r2_b0 | tx=82.0 Gbits/sec | [  5]   0.00-12.00  sec  23.6 GBytes  16.9 Gbits/sec  0.001 ms  11727890/14853656 (79%)  receiver
