# same core (shares L2 + L3)
512 37.800 0.000
768 36.900 0.000
1024 35.100 0.000
1280 33.800 0.000
1536 32.800 0.000
2048 31.100 0.000
3072 28.000 0.000
4096 23.900 0.000
6144 20.300 0.000
8192 18.600 0.000
12288 17.400 0.000
18432 15.200 0.000


# same socket (shares L3 only)
512 51.600 0.000
768 49.500 0.000
1024 49.100 0.000
1280 49.100 0.000
1536 48.100 0.000
2048 45.400 0.000
3072 42.300 0.000
4096 39.200 0.000
6144 33.400 0.000
8192 32.800 0.000
12288 31.700 0.000
18432 31.700 0.000


# cross socket (shares nothing)
512 21.700 0.000
768 21.700 0.000
1024 21.500 0.000
1280 21.500 0.000
1536 21.300 0.000
2048 21.300 0.000
3072 21.300 0.000
4096 21.200 0.000
6144 21.200 0.000
8192 21.100 0.000
12288 20.800 0.000
18432 20.500 0.000


